,year,month,pds_energy_available,pds_transmission_distribution_and_other_losses1,pds_setc_england_and_wales,pds_setc_scotland,pds_setc_northern_ireland,pds_setc_total,pds_setc_industrial,pds_setc_domestic,pds_setc_other,og_electricity_available,og_losses_and_statistical_differences,og_consumption_of_electricity,aes_electricity_available,aes_losses_and_statistical_differences,aes_consumption_of_electricity
0,2010,1,34.56,3.2,28.21,2.27,0.89,31.36,8.51,13.1,9.75,1.59,"0,02 ",1.57,36.14,3.22,32.93
1,2010,2,30.36,3.66,24.59,1.33,0.78,26.7,7.73,10.82,8.15,1.39,"0,02 ",1.37,31.75,3.68,28.07
2,2010,3,31.42,0.47,27.0,3.12,0.84,30.95,8.72,12.16,10.07,1.43,"0,02 ",1.42,32.85,0.48,32.37
3,2010,4,27.15,2.17,23.19,1.09,0.7,24.98,7.99,9.02,7.97,1.48,"-0,00 ",1.48,28.62,2.16,26.46
4,2010,5,26.82,3.04,22.0,1.06,0.72,23.78,7.92,8.14,7.73,1.44,"-0,00 ",1.44,28.26,3.04,25.22
5,2010,6,25.2,1.13,21.69,1.73,0.66,24.08,8.07,7.91,8.1,1.32,"-0,00 ",1.32,26.52,1.12,25.4
6,2010,7,25.81,1.35,22.13,1.67,0.65,24.46,8.21,7.87,8.38,1.46,"-0,01 ",1.46,27.27,1.34,25.92
7,2010,8,25.28,2.18,21.23,1.18,0.69,23.1,8.01,7.52,7.56,1.41,"-0,01 ",1.42,26.69,2.17,24.52
8,2010,9,25.88,2.71,21.37,1.16,0.64,23.17,7.87,7.82,7.49,1.49,"-0,01 ",1.5,27.37,2.7,24.67
9,2010,10,28.43,2.64,23.81,1.28,0.7,25.79,8.45,9.01,8.34,1.41,"0,00 ",1.41,29.84,2.64,27.19
10,2010,11,30.77,2.15,25.64,2.2,0.79,28.63,8.76,10.9,8.97,1.49,"0,00 ",1.49,32.27,2.15,30.12
11,2010,12,35.11,2.18,29.5,2.53,0.89,32.93,8.74,14.55,9.64,1.7,"0,00 ",1.7,36.81,2.19,34.62
12,2011,1,33.78,2.8,27.84,2.32,0.82,30.98,8.83,13.06,9.09,1.67,"0,00 ",1.67,35.45,2.8,32.65
