Type	1998-1st quarter	1998-2nd quarter	1998-3rd quarter	1998-4th quarter	1999-1st quarter	1999-2nd quarter	1999-3rd quarter	1999-4th quarter	2000-1st quarter	2000-2nd quarter	2000-3rd quarter	2000-4th quarter	2001-1st quarter	2001-2nd quarter	2001-3rd quarter	2001-4th quarter	2002-1st quarter	2002-2nd quarter	2002-3rd quarter	2002-4th quarter	2003-1st quarter	2003-2nd quarter	2003-3rd quarter	2003-4th quarter	2004-1st quarter	2004-2nd quarter	2004-3rd quarter	2004-4th quarter	2005-1st quarter	2005-2nd quarter	2005-3rd quarter	2005-4th quarter	2006-1st quarter	2006-2nd quarter	2006-3rd quarter	2006-4th quarter	2007-1st quarter	2007-2nd quarter	2007-3rd quarter	2007-4th quarter	2008-1st quarter	2008-2nd quarter	2008-3rd quarter	2008-4th quarter	2009-1st quarter	2009-2nd quarter	2009-3rd quarter	2009-4th quarter	2010-1st quarter	2010-2nd quarter	2010-3rd quarter	2010-4th quarter	2011-1st quarter	2011-2nd quarter	2011-3rd quarter	2011-4th quarter	2012-1st quarter	2012-2nd quarter	2012-3rd quarter	2012-4th quarter	2013-1st quarter	2013-2nd quarter	2013-3rd quarter	2013-4th quarter	2014-1st quarter	2014-2nd quarter	2014-3rd quarter	2014-4th quarter	2015-1st quarter	2015-2nd quarter	2015-3rd quarter	2015-4th quarter 	2016-1st quarter	2016-2nd quarter	2016-3rd quarter	2016-4th quarter	2017-1st quarter	2017-2nd quarter	2017-3rd quarter	2017-4th quarter	2018-1st quarter	2018-2nd quarter
Major power producers_Coal 	34,20 	27,50 	26,41 	30,49 	29,42 	21,59 	21,93 	29,14 	31,75 	25,90 	24,73 	34,64 	39,90 	28,13 	25,01 	34,09 	36,45 	23,51 	24,15 	36,84 	39,55 	29,05 	26,29 	39,13 	40,41 	24,71 	25,14 	37,56 	41,52 	26,50 	21,28 	41,39 	49,06 	29,05 	27,34 	39,49 	37,98 	24,28 	26,24 	43,58 	34,21 	26,72 	22,14 	37,23 	38,78 	19,18 	15,68 	25,64 	31,64 	18,60 	18,97 	34,63 	34,08 	18,07 	18,27 	34,25 	41,17 	30,33 	28,25	40,05 	41,40 	28,82	26,53	33,42	34,53	22,08	15,88	27,68	29,53	16,00	12,81	17,47	14,68	4,56	2,70	8,67	10,42	1,53	2,15	8,39	8,78	1,22
Major power producers_Oil	0,86 	0,84 	0,71 	1,03 	0,87 	0,60 	0,64 	0,84 	0,68 	0,55 	0,50 	0,69 	0,93 	0,51 	0,47 	0,56 	0,47 	0,43 	0,41 	0,70 	0,68 	0,52 	0,38 	0,63 	0,54 	0,39 	0,38 	0,57 	0,81 	0,31 	0,35 	1,45 	1,64 	0,60 	0,65 	0,83 	0,69 	0,51 	0,54 	1,22 	0,75 	0,82 	1,15 	1,84 	1,56 	0,64 	0,72 	0,92 	0,81 	0,30 	0,46 	0,69 	0,44 	0,15 	0,18 	0,30 	0,45 	0,33 	0,20	0,46 	0,26 	0,11	0,22	0,16	0,18	0,10	0,10	0,15	0,16	0,15	0,18	0,20	0,19	0,12	0,12	0,17	0,14	0,07	0,07	0,11	0,13	0,06
Major power producers_Gas	27,53 	24,04 	24,73 	29,50 	33,71 	29,50 	29,73 	35,43 	35,65 	31,15 	30,22 	32,54 	33,77 	32,06 	29,14 	32,03 	33,85 	34,29 	34,10 	33,50 	32,50 	31,01 	33,42 	34,31 	34,70 	33,72 	35,50 	36,66 	32,53 	35,99 	37,05 	31,92 	26,88 	30,69 	32,82 	36,25 	39,65 	40,49 	33,50 	35,71 	44,50 	39,19 	40,57 	37,32 	34,22 	35,54 	39,20 	43,63 	44,41 	42,23 	37,53 	37,58 	34,61 	33,44 	35,33 	29,37 	23,57 	21,89 	19,58	21,19 	23,45 	21,04	18,56	19,84	18,52	20,96	26,31	23,08	20,52	20,69	23,72	23,53	31,28	31,90	29,76	39,03	34,52	28,96	27,16	33,88	33,75	29,01
Major power producers_Nuclear	25,96 	23,63 	22,93 	26,97 	26,24 	24,65 	21,50 	22,74 	22,97 	21,07 	19,71 	21,31 	22,78 	20,18 	22,38 	24,75 	24,55 	21,55 	20,62 	21,13 	24,52 	22,44 	20,83 	20,89 	23,54 	18,60 	18,67 	19,19 	22,46 	19,80 	20,37 	18,98 	22,37 	19,84 	18,79 	14,45 	15,55 	15,12 	17,32 	15,04 	14,47 	12,20 	12,07 	13,75 	16,95 	18,11 	17,73 	16,30 	18,19 	13,88 	13,02 	17,05 	19,45 	19,15 	15,76 	14,62 	17,20 	18,53 	18,03	16,65 	18,28 	15,47	18,69	18,16	16,53	17,50	15,66	14,06	18,17	16,92	16,56	18,69	17,34	16,66	18,86	18,87	17,64	17,83	18,17	16,69	16,64	16,63
Major power producers_Hydro (natural flow) 	1,61 	0,62 	0,69 	1,32 	1,61 	0,86 	0,56 	1,40 	1,85 	0,54 	0,47 	1,47 	0,83 	0,41 	0,46 	1,51 	1,69 	0,93 	0,48 	0,83 	0,79 	0,52 	0,38 	0,87 	1,26 	0,53 	0,76 	1,36 	1,33 	0,78 	0,51 	1,21 	0,88 	0,76 	0,52 	1,53 	1,66 	0,66 	0,73 	1,08 	1,69 	0,66 	0,56 	1,32 	1,30 	0,72 	0,92 	1,35 	0,61 	0,46 	0,65 	0,98 	1,02 	0,90 	0,99 	1,69 	1,51 	0,56 	0,80	1,30 	0,94 	0,72	0,53	1,42	1,87	0,81	0,54	1,42	1,63	1,09	0,73	1,45	1,63	0,63	0,82	0,87	1,32	0,53	0,86	1,47	1,09	0,65
Major power producers_Wind	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	1,13 	0,62 	0,80 	1,01 	1,67 	0,95 	0,99 	1,77 	1,86 	1,41 	1,48 	1,79 	1,87 	1,27 	2,14 	2,70 	2,74 	2,97 	2,43 	4,77 	4,34 	3,38 	3,76	5,68 	5,81 	5,46	3,99	8,70	9,28	4,32	4,28	8,88	9,79	6,91	6,03	10,53	9,50	5,98	6,71	8,51	10,58	8,32	7,87	14,23	14,64	8,58
Major power producers_- of which, Offshore																																																	0,67 	0,46 	0,83 	1,10 	1,00 	1,13 	1,10 	1,92 	1,51 	1,65 	1,71	2,74 	2,82 	2,63	1,98	4,03	4,38	2,09	2,24	4,69	4,67	3,57	3,41	5,75	5,15	3,25	3,58	4,42	5,17	3,99	3,96	7,79	7,92	4,72
Major power producers_Solar																																																																					0,17	0,58	0,50	0,15	0,29	0,73	0,74	0,27	0,42	1,18	1,03	0,35	0,46	1,31
Major power producers_Bioenergy	0,14 	0,14 	0,14 	0,16 	0,17 	0,20 	0,20 	0,19 	0,17 	0,16 	0,18 	0,18 	0,17 	0,16 	0,19 	0,20 	0,22 	0,20 	0,20 	0,23 	0,30 	0,27 	0,25 	0,32 	0,42 	0,33 	0,32 	0,40 	0,85 	0,58 	0,50 	0,82 	0,94 	0,63 	0,55 	0,80 	0,74 	0,50 	0,46 	0,64 	0,67 	0,63 	0,58 	0,72 	0,81 	0,62 	0,54 	0,71 	0,90 	0,82 	1,01 	1,06 	1,21 	1,00 	1,18 	1,25 	1,77 	0,90 	1,40	2,04 	2,02 	2,85	2,23	2,12	2,17	3,00	3,45	4,08	4,15	4,17	4,16	5,22	5,33	4,66	3,10	4,31	5,41	4,33	4,21	3,81	3,94	4,97
Major power producers_Other fuels																																																													0,13 	0,12	0,14	0,13	0,13	0,12	0,14	0,14	0,13	0,13	0,21	0,21	0,29	0,19	0,23	0,26	0,32	0,29	0,34	0,32	0,33	0,30
