,fuel_used_hydro,fuel_used_wind_solar,fuel_used_bioenergy,fuel_used_total,generated_hydro,generated_wind_solar,generated_of_which_offshore,generated_bioenergy,generated_total,supplied_hydro,supplied_wind_solar,supplied_of_which_offshore,supplied_bioenergy,supplied_total,date,year,quarter,generated_wind_solar_onshore,supplied_wind_solar_onshore,generated_non_renewable,supplied_non_renewable
0,0.07,0.21,1.05,22.37,0.84,2.43,0.67,2.97,108.18,0.84,2.43,0.67,2.7,100.69,2010-1,2010,1,1.7600000000000002,1.7600000000000002,101.94,94.71999999999998
1,0.06,0.14,1.05,18.01,0.65,1.67,0.46,2.93,86.51,0.65,1.67,0.46,2.66,83.43,2010-2,2010,2,1.21,1.21,81.25999999999999,78.45
2,0.07,0.24,1.1,17.39,0.86,2.77,0.83,3.13,82.88,0.85,2.77,0.83,2.84,81.36,2010-3,2010,3,1.94,1.94,76.12,74.9
3,0.11,0.3,1.13,21.87,1.24,3.45,1.1,3.24,104.5,1.23,3.45,1.1,2.94,98.91,2010-4,2010,4,2.35,2.35,96.57000000000001,91.28999999999999
4,0.11,0.29,1.15,21.9,1.3,3.41,1.0,3.36,103.37,1.29,3.41,1.0,2.99,98.63,2011-1,2011,1,2.41,2.41,95.30000000000001,90.94
5,0.1,0.32,1.12,17.74,1.14,3.69,1.13,3.16,85.07,1.13,3.69,1.13,2.8,81.89,2011-2,2011,2,2.56,2.56,77.08,74.27000000000001
6,0.11,0.27,1.16,17.37,1.23,3.12,1.1,3.35,83.42,1.22,3.12,1.1,2.98,81.26,2011-3,2011,3,2.02,2.02,75.72,73.94
7,0.17,0.52,1.18,20.02,2.02,5.99,1.92,3.45,96.13,2.0,5.99,1.92,3.07,92.14,2011-4,2011,4,4.07,4.07,84.67,81.08000000000001
8,0.16,0.45,1.29,21.31,1.83,5.25,1.51,3.93,99.9,1.82,5.25,1.51,3.45,95.99,2012-1,2012,1,3.74,3.74,88.89,85.47
9,0.07,0.37,1.1,18.3,0.8,4.33,1.65,3.01,85.33,0.79,4.33,1.65,2.63,83.27,2012-2,2012,2,2.68,2.68,77.19,75.52
10,0.09,0.42,1.21,17.65,1.05,4.91,1.71,3.54,81.44,1.05,4.91,1.71,3.11,80.43,2012-3,2012,3,3.2,3.2,71.94,71.36000000000001
11,0.14,0.58,1.34,20.79,1.64,6.71,2.74,4.26,97.21,1.63,6.71,2.74,3.75,94.08,2012-4,2012,4,3.9699999999999998,3.9699999999999998,84.6,81.99000000000001
12,0.11,0.6,1.25,21.65,1.25,6.92,2.82,4.14,101.37,1.24,6.92,2.82,3.58,98.17,2013-1,2013,1,4.1,4.1,89.06,86.43
13,0.08,0.62,2.85,19.0,0.97,7.19,2.63,5.06,83.73,0.96,7.19,2.63,4.4,82.22,2013-2,2013,2,4.5600000000000005,4.5600000000000005,70.51,69.67
14,0.06,0.48,1.32,17.23,0.74,5.59,1.98,4.46,79.5,0.74,5.59,1.98,3.86,79.02,2013-3,2013,3,3.61,3.61,68.71000000000001,68.83
15,0.15,0.93,1.33,19.64,1.74,10.71,4.03,4.44,93.68,1.73,10.71,4.03,3.83,91.53,2013-4,2013,4,6.680000000000001,6.680000000000001,76.79000000000002,75.26
16,0.19,0.99,1.39,19.52,2.24,11.52,4.38,4.57,93.48,2.22,11.52,4.38,3.91,92.8,2014-1,2014,1,7.14,7.14,75.15,75.15
17,0.1,0.57,1.6,16.66,1.11,6.6,2.09,5.45,78.66,1.1,6.6,2.09,4.7,78.77,2014-2,2014,2,4.51,4.51,65.5,66.37
18,0.07,0.58,1.71,15.99,0.78,6.69,2.24,5.91,76.12,0.77,6.69,2.24,5.12,76.99,2014-3,2014,3,4.45,4.45,62.74000000000001,64.41
19,0.15,0.96,1.89,18.51,1.75,11.2,4.69,6.69,89.83,1.74,11.2,4.69,5.8,89.69,2014-4,2014,4,6.509999999999999,6.509999999999999,70.19,70.95
20,0.17,1.1,2.01,19.78,2.01,12.78,4.68,6.96,95.54,2.0,12.78,4.68,6.05,94.85,2015-1,2015,1,8.1,8.1,73.79,74.02
21,0.12,0.98,2.03,16.02,1.43,11.44,3.58,7.02,78.52,1.41,11.44,3.58,6.1,79.36,2015-2,2015,2,7.859999999999999,7.859999999999999,58.629999999999995,60.410000000000004
22,0.09,0.85,2.07,15.76,1.03,9.92,3.41,7.06,76.33,1.02,9.92,3.41,6.11,77.58,2015-3,2015,3,6.51,6.51,58.31999999999999,60.53
23,0.16,1.18,2.32,17.75,1.83,13.68,5.76,8.22,88.48,1.82,13.68,5.76,7.14,87.83,2015-4,2015,4,7.92,7.92,64.75,65.19000000000001
24,0.19,1.12,2.66,18.53,2.17,12.99,5.15,8.53,92.22,2.16,12.99,5.15,7.45,93.1,2016-1,2016,1,7.84,7.84,68.53,70.5
25,0.08,0.96,2.54,15.48,0.98,11.12,3.25,7.71,78.02,0.97,11.12,3.25,6.72,78.91,2016-2,2016,2,7.869999999999999,7.869999999999999,58.20999999999999,60.099999999999994
26,0.1,1.03,2.25,15.08,1.2,11.93,3.58,6.22,76.05,1.19,11.93,3.58,5.38,76.42,2016-3,2016,3,8.35,8.35,56.699999999999996,57.92
27,0.11,1.0,2.55,18.07,1.26,11.63,4.42,7.61,93.01,1.25,11.63,4.42,6.62,89.41,2016-4,2016,4,7.210000000000001,7.210000000000001,72.51,69.91
28,0.16,1.25,2.93,18.16,1.9,14.5,5.17,8.92,93.79,1.88,14.5,5.17,7.64,91.03,2017-1,2017,1,9.33,9.33,68.47,67.01
29,0.08,1.27,2.7,15.03,0.91,14.8,3.99,7.84,77.08,0.9,14.8,3.99,6.67,77.78,2017-2,2017,2,10.81,10.81,53.53,55.41
30,0.11,1.17,2.73,14.92,1.32,13.59,3.96,7.78,75.6,1.3,13.59,3.96,6.61,76.38,2017-3,2017,3,9.629999999999999,9.629999999999999,52.91,54.879999999999995
31,0.16,1.6,2.6,17.37,1.8,18.64,7.84,7.33,92.18,1.79,18.64,7.84,6.21,88.86,2017-4,2017,4,10.8,10.8,64.41000000000001,62.21999999999999
32,0.12,1.67,2.64,17.83,1.39,19.39,7.97,7.46,93.13,1.38,18.93,7.92,6.32,92.79,2018-1,2018,1,11.420000000000002,11.01,64.89,66.16000000000003
33,0.07,1.28,2.88,14.81,0.87,14.85,4.75,8.53,76.55,0.86,13.55,4.72,7.28,75.66,2018-2,2018,2,10.1,8.830000000000002,52.29999999999999,53.97
